	1.11	1.12	1.13	1.14	1.15	1.16	1.17	1.18	1.19	1.2	1.21	1.22	1.23	1.24	1.25	1.26	1.27	1.28	1.29	1.3	1.31	1.32	1.33	1.34	1.35	1.36	1.37	1.38	1.39	1.4	1.41	1.42	1.43	1.44	1.45	1.46	1.47	1.48	1.49	1.5	1.51	1.52	1.53	1.54	1.55	1.56	1.57	1.58	1.59	1.6	1.61	1.62	1.63	1.64	1.65	1.66	1.67	1.68	1.69	1.7	1.71	1.72	1.73	1.74	1.75	1.76	1.77	1.78	1.79	1.8	1.81	1.82	1.83	1.84	1.85	1.86	1.87	1.88	1.89	1.9	1.91	1.92	1.93	1.94	1.95	1.96	1.97	1.98	1.99	2	2.01	2.02	2.03	2.04	2.05	2.06	2.07	2.08	2.09	2.1
0.02	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999996	0.9999996	0.9999996	0.9999996	0.9999994	0.9999981	0.9999984	0.999998	0.9999979	0.999998	0.9999985	0.9999985	0.9999985	0.9999989	0.9999988	0.9999991	0.9999994	1.003324	1.004639	1.005959	1.012397	1.013831	1.01527	1.016712	1.024111	1.02567	1.027232	1.028798	1.030367	1.038897	1.040583	1.042272	1.051752	1.05356	1.050817	1.062137	1.07451	1.087133	1.080898	1.06777	1.066715	1.067243	1.071778	1.077676	1.079682	1.078103	1.086378	1.076613	1.0918	1.080507	1.095819	1.110748	1.104318	1.099126	1.102665	1.108969	1.114777	1.117508	1.117308	1.114848	1.115357
0.03	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999999	0.9999999	0.9999999	1	1	0.9999993	0.9999993	0.9999992	0.9999992	0.9999992	0.9999987	0.9999989	0.999999	0.9999988	0.999999	1.003788	1.004589	1.009656	1.010535	1.011416	1.017177	1.018141	1.019108	1.020077	1.026679	1.027735	1.028793	1.029852	1.037367	1.038518	1.039671	1.040825	1.041982	1.050571	1.051822	1.053073	1.054327	1.055581	1.056837	1.058094	1.068023
0.04	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999999	1	1	0.9999999	0.9999998	1	1	1	1	1	1	1	0.9999997	0.9999997	0.9999997	0.9999997	1.005731	1.006962	1.008183	1.009393	1.010516	1.018074
0.05	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999999	1
0.06	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.07	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000115	1.000235	1.000349	1.000459	1.000564	1.000665	1.000762	1.000855	1.000944	1.00103	1.001112	1.00119	1.001266	1.001339	1.001408	1.001475	1.00154	1.001602	1.001661	1.001718	1.001773	1.001826	1.001877	1.001926	1.001973	1.002018	1.002061
0.08	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000157	1.000624	1.001073	1.001504	1.001918	1.002317	1.002699	1.003067	1.003421	1.003761	1.004089	1.004403	1.004706	1.004997	1.005277	1.005546	1.005805	1.006055	1.006295	1.006526	1.006749	1.006963	1.007169	1.007368	1.007559	1.007743	1.007921	1.008092	1.008257	1.008416	1.008569	1.008717	1.008859	1.008997	1.009129	1.009257	1.00938	1.009499	1.009614	1.009725	1.009832	1.009935	1.010035	1.010131	1.010224	1.010314	1.010401	1.010484	1.010566	1.010644	1.01072	1.010793
0.09	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000494	1.001217	1.001914	1.002586	1.003236	1.003862	1.004467	1.00505	1.005613	1.006157	1.006682	1.007189	1.007679	1.008151	1.008608	1.009049	1.009474	1.009886	1.010283	1.010667	1.011038	1.011397	1.011743	1.012078	1.012402	1.012715	1.013018	1.01331	1.013593	1.013867	1.014131	1.014387	1.014635	1.014874	1.015106	1.015331	1.015548	1.015758	1.015961	1.016158	1.016349	1.016534	1.016712	1.016886	1.017054	1.017216	1.017374	1.017526	1.017674	1.017818	1.017957	1.018091	1.018222	1.018349	1.018471	1.018591	1.018706	1.018818	1.018927
0.1	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000633	1.001562	1.002462	1.003332	1.004174	1.004989	1.005778	1.006542	1.007282	1.007998	1.008692	1.009364	1.010015	1.010646	1.011257	1.011849	1.012423	1.012979	1.013518	1.01404	1.014546	1.015037	1.015513	1.015975	1.016422	1.016856	1.017277	1.017685	1.018081	1.018465	1.018838	1.019199	1.01955	1.01989	1.020221	1.020542	1.020853	1.021155	1.021448	1.021733	1.02201	1.022278	1.022539	1.022793	1.023039	1.023278	1.02351	1.023736	1.023955	1.024169	1.024376	1.024577	1.024773	1.024964	1.025149	1.025329	1.025504	1.025674	1.02584	1.026001	1.026158	1.02631	1.026459
0.11	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000331	1.001445	1.002524	1.00357	1.004584	1.005567	1.006521	1.007447	1.008344	1.009216	1.010062	1.010883	1.01168	1.012454	1.013206	1.013936	1.014646	1.015335	1.016005	1.016655	1.017288	1.017902	1.0185	1.01908	1.019645	1.020193	1.020727	1.021246	1.021751	1.022241	1.022719	1.023183	1.023634	1.024074	1.024501	1.024917	1.025322	1.025716	1.026099	1.026473	1.026836	1.027189	1.027534	1.027869	1.028195	1.028513	1.028823	1.029124	1.029418	1.029704	1.029982	1.030254	1.030518	1.030776	1.031028	1.031272	1.031511	1.031744	1.031971	1.032192	1.032407	1.032617	1.032823	1.033022	1.033218	1.033408
0.12	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000243	1.001509	1.002738	1.003929	1.005086	1.006208	1.007299	1.008358	1.009387	1.010387	1.01136	1.012305	1.013225	1.014119	1.014989	1.015836	1.01666	1.017462	1.018243	1.019003	1.019743	1.020463	1.021165	1.021849	1.022515	1.023163	1.023795	1.024411	1.025011	1.025596	1.026166	1.026722	1.027263	1.027791	1.028306	1.028808	1.029298	1.029775	1.03024	1.030694	1.031137	1.031569	1.031991	1.032402	1.032803	1.033195	1.033577	1.033949	1.034313	1.034669	1.035015	1.035354	1.035684	1.036007	1.036322	1.03663	1.03693	1.037224	1.037511	1.037791	1.038064	1.038331	1.038593	1.038848	1.039097	1.039341	1.039579	1.039812
0.13	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000898	1.002278	1.003616	1.004916	1.006179	1.007406	1.008598	1.009758	1.010886	1.011984	1.013053	1.014093	1.015105	1.016092	1.017053	1.017989	1.018902	1.019791	1.020658	1.021504	1.022328	1.023132	1.023917	1.024682	1.025428	1.026157	1.026868	1.027562	1.028239	1.0289	1.029545	1.030176	1.030791	1.031392	1.031979	1.032552	1.033112	1.033659	1.034194	1.034716	1.035226	1.035725	1.036212	1.036689	1.037154	1.037609	1.038054	1.038489	1.038914	1.03933	1.039736	1.040134	1.040523	1.040903	1.041275	1.041639	1.041995	1.042343	1.042683	1.043017	1.043343	1.043662	1.043975	1.04428	1.04458	1.044873	1.04516	1.04544	1.045715
0.14	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.001193	1.002683	1.00413	1.005535	1.006901	1.008229	1.009521	1.010778	1.012002	1.013193	1.014354	1.015485	1.016587	1.017662	1.018709	1.019731	1.020728	1.021701	1.02265	1.023577	1.024482	1.025365	1.026228	1.02707	1.027893	1.028697	1.029483	1.030251	1.031002	1.031735	1.032453	1.033154	1.03384	1.03451	1.035166	1.035807	1.036435	1.037048	1.037649	1.038236	1.038811	1.039374	1.039924	1.040463	1.04099	1.041507	1.042012	1.042507	1.042991	1.043466	1.04393	1.044385	1.044831	1.045267	1.045695	1.046114	1.046524	1.046926	1.04732	1.047705	1.048084	1.048454	1.048817	1.049173	1.049522	1.049864	1.050199	1.050528	1.05085	1.051166
0.15	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.001162	1.002761	1.004315	1.005824	1.007292	1.008719	1.010108	1.01146	1.012777	1.01406	1.015311	1.01653	1.017718	1.018878	1.020009	1.021114	1.022192	1.023245	1.024273	1.025277	1.026259	1.027218	1.028155	1.029072	1.029968	1.030845	1.031702	1.03254	1.033361	1.034164	1.034949	1.035718	1.036471	1.037207	1.037929	1.038635	1.039326	1.040004	1.040667	1.041317	1.041954	1.042577	1.043188	1.043787	1.044374	1.044949	1.045513	1.046065	1.046606	1.047137	1.047658	1.048168	1.048669	1.049159	1.04964	1.050112	1.050575	1.051029	1.051475	1.051912	1.05234	1.052761	1.053174	1.053578	1.053976	1.054366	1.054749	1.055124	1.055493	1.055855	1.05621
0.16	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000833	1.002541	1.004201	1.005813	1.007382	1.008907	1.010392	1.011838	1.013247	1.01462	1.015958	1.017263	1.018536	1.019779	1.020992	1.022177	1.023334	1.024464	1.025569	1.026648	1.027704	1.028736	1.029746	1.030734	1.0317	1.032646	1.033572	1.034478	1.035365	1.036234	1.037085	1.037919	1.038735	1.039535	1.040319	1.041088	1.041841	1.042579	1.043302	1.044012	1.044707	1.045389	1.046058	1.046714	1.047358	1.047989	1.048609	1.049216	1.049812	1.050398	1.050972	1.051535	1.052088	1.052631	1.053164	1.053687	1.054201	1.054705	1.0552	1.055687	1.056164	1.056633	1.057094	1.057546	1.057991	1.058427	1.058856	1.059278	1.059692	1.060099	1.060498	1.060891
0.17	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.000229	1.002046	1.003811	1.005527	1.007195	1.008819	1.010399	1.011938	1.013437	1.014899	1.016324	1.017714	1.019071	1.020395	1.021688	1.022951	1.024186	1.025392	1.026571	1.027724	1.028852	1.029955	1.031035	1.032092	1.033126	1.034139	1.035131	1.036103	1.037055	1.037988	1.038902	1.039797	1.040676	1.041537	1.042381	1.043209	1.044021	1.044817	1.045598	1.046365	1.047117	1.047855	1.04858	1.049291	1.049989	1.050674	1.051347	1.052007	1.052656	1.053293	1.053919	1.054533	1.055137	1.05573	1.056312	1.056885	1.057447	1.058	1.058543	1.059077	1.059601	1.060117	1.060624	1.061122	1.061612	1.062094	1.062567	1.063033	1.063491	1.063941	1.064384	1.06482	1.065248
0.18	10	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.001295	1.003166	1.004985	1.006753	1.008474	1.010149	1.011781	1.01337	1.01492	1.016432	1.017906	1.019346	1.020751	1.022123	1.023464	1.024774	1.026055	1.027307	1.028533	1.029731	1.030904	1.032053	1.033177	1.034278	1.035356	1.036413	1.037448	1.038462	1.039457	1.040432	1.041388	1.042326	1.043246	1.044148	1.045034	1.045903	1.046755	1.047592	1.048414	1.049221	1.050013	1.05079	1.051554	1.052305	1.053042	1.053766	1.054477	1.055176	1.055863	1.056538	1.057202	1.057854	1.058495	1.059126	1.059745	1.060355	1.060954	1.061543	1.062122	1.062692	1.063253	1.063804	1.064347	1.064881	1.065406	1.065922	1.066431	1.066931	1.067424	1.067908	1.068385	1.068854	1.069317
