16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	16821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
14415	14749	14733	14782	14872	14837	14927	14846	14687	14798	14708	14551	14847	14792	14773	14839	14771	14685	14766	14706	14740	14855	14704	14861	14880	3603	3115	3058	2918	2919	3059	2851	3095	3319	2963	3073	3290	2896	2843	2931	2936	3008	3280	3101	2994	3262	2831	3195	2828	2973	0.829044	0.836182	0.847274	0.778593	0.784343	0.730976	0.775401	0.812624	0.861824	0.835095	0.807867	0.797164	0.74511	0.774782	0.784342	0.691026	0.70664	0.826791	0.813686	0.803395	0.771923	0.766616	0.815144	0.769386	0.789748	0.644165	0.637846	0.622292	0.590445	0.584329	0.602193	0.621008	0.595822	0.606817	0.624949	0.607963	0.621038	0.597863	0.572453	0.592987	0.641547	0.614246	0.60415	0.574426	0.623189	0.645162	0.621021	0.619194	0.602316	0.592205	
13964	13927	13784	13997	13868	14050	14017	13957	13866	13849	13909	14027	13691	13955	13950	13883	13850	13826	13986	13833	14057	13852	13823	13778	13881	4736	4802	4885	4582	4747	4558	4434	4727	4759	4899	4775	4718	5282	4802	4770	4824	4979	5073	4759	4976	4641	4812	5018	4914	5009	0.665135	0.714201	0.649172	0.639042	0.634303	0.631421	0.644844	0.753513	0.713968	0.683921	0.62395	0.68077	0.692346	0.680716	0.691107	0.634357	0.666391	0.671299	0.677094	0.676866	0.661601	0.669051	0.728888	0.707935	0.652678	0.649578	0.660395	0.6501	0.638271	0.650062	0.679961	0.63867	0.65346	0.641663	0.656845	0.638275	0.633759	0.659847	0.644476	0.638227	0.654085	0.631314	0.673712	0.653805	0.673346	0.614335	0.633299	0.630291	0.651931	0.663845	
13284	13165	13211	13126	13171	13258	13209	13099	13168	13139	13247	13366	13172	13371	13353	13102	13118	13194	13349	13206	13186	13145	13192	13193	13442	6623	6539	6387	6707	7022	6526	6646	6999	6667	6811	6187	6499	6854	6441	5823	6535	6533	6632	6340	6088	6422	6657	6340	6755	6306	0.592384	0.638541	0.614404	0.674862	0.616185	0.597663	0.608304	0.607053	0.648456	0.610509	0.636921	0.662333	0.575394	0.584183	0.664547	0.65519	0.626027	0.637063	0.635965	0.594801	0.61066	0.659012	0.616385	0.614455	0.637019	0.663226	0.700556	0.684667	0.675847	0.68778	0.676711	0.704138	0.7069	0.682218	0.69817	0.70095	0.692008	0.694456	0.687578	0.68823	0.670759	0.673551	0.673304	0.663347	0.678295	0.671981	0.705144	0.687545	0.682737	0.658054	
12082	12158	12223	12151	12163	12196	12144	12064	12105	12134	12091	12188	12176	12186	12047	12202	12118	12041	11986	12271	12212	12257	12107	12280	12089	10255	9727	9303	9884	9602	9818	9722	10143	9949	9761	10088	9940	10094	9899	9834	10238	10266	10212	10240	10017	9766	9637	9997	9606	9778	0.547443	0.563341	0.557482	0.572186	0.541943	0.516697	0.584618	0.589873	0.539505	0.533734	0.553185	0.582407	0.534065	0.528264	0.57517	0.54248	0.56908	0.524627	0.511879	0.53742	0.575472	0.567807	0.569412	0.528864	0.579389	0.735135	0.747247	0.743338	0.749418	0.733931	0.740136	0.749616	0.73809	0.744821	0.750533	0.746301	0.728851	0.740784	0.736308	0.741576	0.756396	0.752122	0.753717	0.714407	0.759979	0.724737	0.736725	0.763692	0.729849	0.738293	
11224	11180	11287	11225	11242	11352	11289	11169	11210	11156	11370	11329	11313	11284	11159	11282	11170	11346	11370	11267	11396	11265	11406	11233	11345	13033	13327	12914	12377	13318	12838	12406	13132	13157	12613	13173	13016	12998	13061	13269	13069	13015	13028	12940	13085	12374	12399	13162	12668	13125	0.492057	0.50839	0.533719	0.512972	0.460471	0.510413	0.554323	0.530098	0.489557	0.523696	0.497268	0.515358	0.478272	0.507128	0.542861	0.519006	0.5258	0.523697	0.532633	0.502723	0.531188	0.519088	0.468286	0.485788	0.50748	0.794462	0.765762	0.798469	0.777405	0.797091	0.780642	0.787215	0.779005	0.781154	0.779401	0.784223	0.780736	0.799912	0.794874	0.783835	0.783982	0.789714	0.780485	0.784454	0.782435	0.780699	0.782549	0.779324	0.775933	0.79045	
10003	9750	9926	9875	10009	10009	9953	9989	10111	9986	9713	10022	10021	9795	10034	10192	9999	10134	9992	10014	9979	9901	10004	10107	10033	18805	19567	18505	19095	19746	19367	19233	18084	19336	18623	20565	19386	19067	20046	19680	19023	18785	18961	19524	18864	18895	19119	19515	18808	19537	0.435846	0.442993	0.466847	0.426694	0.43831	0.452775	0.415471	0.447604	0.42842	0.443453	0.432875	0.451029	0.495116	0.444232	0.451282	0.404251	0.454586	0.435806	0.463253	0.497426	0.440272	0.456069	0.431725	0.396591	0.407862	0.860101	0.866543	0.863526	0.850521	0.853765	0.857673	0.860941	0.844584	0.845579	0.856159	0.875497	0.841781	0.859193	0.866791	0.856981	0.851228	0.859159	0.847493	0.864665	0.863822	0.838416	0.859994	0.855686	0.852544	0.844527	
9210	9129	8954	9138	9122	9190	9079	9194	9084	9390	9157	9190	9193	9083	9349	9208	9316	8930	9131	8959	9034	9079	9294	9105	9122	24485	24138	24928	23538	24741	24324	24464	26117	24505	23905	25270	25465	25397	23187	23913	24461	24056	22430	22930	26686	24005	25336	21479	24406	23931	0.389694	0.385261	0.417414	0.414491	0.373711	0.363922	0.37951	0.399645	0.395222	0.364618	0.384109	0.373246	0.430537	0.412157	0.377939	0.404197	0.404621	0.407765	0.396075	0.405626	0.387297	0.415901	0.385915	0.417719	0.376198	0.898295	0.892369	0.910532	0.891159	0.905774	0.891781	0.89111	0.893308	0.890584	0.887319	0.894229	0.877758	0.890228	0.896167	0.887074	0.889082	0.881264	0.893379	0.884973	0.886007	0.893796	0.892509	0.88649	0.894234	0.889072	
8594	8639	8760	8681	8664	8902	8622	8809	8769	8829	8728	8723	8951	8777	8947	8652	8801	8926	8778	8747	8739	8700	8759	8568	8605	28215	27043	25939	27511	26814	25104	29134	25722	28987	28354	27609	27939	25921	28545	25458	27840	26552	25827	27913	27819	26786	28247	28945	26898	27698	0.374753	0.385883	0.391169	0.370339	0.391805	0.389068	0.381544	0.343054	0.355326	0.353307	0.350642	0.370489	0.35278	0.352978	0.353337	0.3503	0.37211	0.356953	0.37121	0.366901	0.370982	0.372339	0.369656	0.341266	0.366899	0.906075	0.912495	0.904245	0.910419	0.908759	0.900154	0.909165	0.899497	0.911216	0.910334	0.902738	0.897012	0.896528	0.911671	0.902347	0.901575	0.904351	0.896194	0.901408	0.905756	0.901519	0.904863	0.910089	0.90469	0.911513	
8551	8579	8656	8480	8431	8546	8537	8558	8485	8728	8583	8356	8624	8616	8464	8498	8627	8443	8636	8405	8519	8438	8615	8274	8759	29484	28065	31155	30014	29687	29949	29965	28731	28927	26734	30098	30521	28356	27186	28321	32231	29823	29104	28808	29071	30626	29026	28138	27754	26855	0.324853	0.338754	0.333261	0.354825	0.344485	0.327868	0.327399	0.358149	0.337689	0.375263	0.332259	0.369176	0.344716	0.330652	0.337238	0.352129	0.365938	0.35732	0.358621	0.373616	0.350069	0.354535	0.335928	0.37286	0.333403	0.911573	0.909472	0.913507	0.912155	0.902675	0.911537	0.912683	0.901655	0.896355	0.900933	0.894743	0.911603	0.892245	0.903104	0.894566	0.904591	0.913763	0.915502	0.920087	0.927795	0.905973	0.909124	0.889499	0.918103	0.888859	
