r	c	outcome	1.2	1.25	1.3	1.35	1.4	1.45	1.5	1.55	1.6	1.65	1.7	1.75	1.8
0.5	0.1	0	0	0	0.1	0.94	1	1	1	1	1	1	1	1	1
0.5	0.1	1	0	0.673469388	0.78	0.06	0	0	0	0	0	0	0	0	0
0.5	0.1	2	0	0.306122449	0.12	0	0	0	0	0	0	0	0	0	0
0.5	0.1	3	1	0.020408163	0	0	0	0	0	0	0	0	0	0	0
0.5	0.1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.05	0	0	0	0	0.02	0.612244898	0.66	0.78	0.82	0.83	0.836734694	0.9	0.92	0.96
0.5	0.05	1	0	0	0.270833333	0.46	0.040816327	0	0	0	0	0	0	0	0
0.5	0.05	2	0	0	0	0.08	0	0	0	0	0	0	0	0	0
0.5	0.05	3	1	1	0.729166667	0.44	0.346938776	0.34	0.22	0.18	0.17	0.163265306	0.1	0.08	0.04
0.5	0.05	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.05	5	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.02	0	0	0	0	0	0.075	0.255813953	0.30952381	0.377777778	0.543478261	0.448979592	0.551020408	0.58	0.66
0.5	0.02	1	0	0	0	0	0.125	0	0	0	0	0	0	0	0
0.5	0.02	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.02	3	1	1	1	1	0.8	0.744186047	0.69047619	0.622222222	0.456521739	0.551020408	0.448979592	0.42	0.34
0.5	0.02	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.02	5	0	0	0	0	0	0	0	0	0	0	0	0	0
0.75	0.1	0	0	0	0	0	0	0	0	0.113636364	0.934782609	1	1	1	1
0.75	0.1	1	0	0	0	0	0	0	0.127659574	0.068181818	0.02173913	0	0	0	0
0.75	0.1	2	0	0	0	0	0	0.020833333	0.234042553	0.136363636	0.043478261	0	0	0	0
0.75	0.1	3	0.88	0.816326531	0.54	0.591836735	0.84	0.833333333	0.595744681	0.681818182	0	0	0	0	0
0.75	0.1	4	0.12	0.163265306	0.46	0.408163265	0.16	0.145833333	0.042553191	0	0	0	0	0	0
0.75	0.1	5	0	0.020408163	0	0	0	0	0	0	0	0	0	0	0
0.75	0.05	0	0	0	0	0	0	0	0	0	0.510638298	0.7	0.723404255	0.875	0.88
0.75	0.05	1	0	0	0	0	0	0	0	0	0.127659574	0	0	0	0
0.75	0.05	2	0	0	0	0	0	0	0	0	0.127659574	0	0	0	0
0.75	0.05	3	1	1	1	0.98	1	1	1	1	0.191489362	0.28	0.276595745	0.125	0.12
0.75	0.05	4	0	0	0	0	0	0	0	0	0.042553191	0.02	0	0	0
0.75	0.05	5	0	0	0	0.02	0	0	0	0	0	0	0	0	0
0.75	0.02	0	0	0	0	0	0	0	0	0	0.06	0.2	0.520833333	0.681818182	0.833333333
0.75	0.02	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.75	0.02	2	0	0	0	0	0	0	0	0	0	0	0.020833333	0	0
0.75	0.02	3	1	1	1	1	1	1	1	1	0.94	0.8	0.458333333	0.318181818	0.145833333
0.75	0.02	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.75	0.02	5	0	0	0	0	0	0	0	0	0	0	0	0	0.020833333
1	0.1	0	0	0	0	0	0	0	0	0	0.041666667	0.306122449	0.565217391	0.893617021	0.979591837
1	0.1	1	0	0	0	0	0.020408163	0	0	0	0	0	0	0.021276596	0.020408163
1	0.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.1	3	1	1	0.98	0.98	0.897959184	0.791666667	0.674418605	0.613636364	0.8125	0.571428571	0.434782609	0.085106383	0
1	0.1	4	0	0	0.02	0.02	0.081632653	0.1875	0.325581395	0.386363636	0.145833333	0.12244898	0	0	0
1	0.1	5	0	0	0	0	0	0.020833333	0	0	0	0	0	0	0
1	0.05	0	0	0	0	0	0	0	0	0	0	0.133333333	0.547619048	0.928571429	1
1	0.05	1	0	0	0	0	0	0	0	0	0	0	0.166666667	0.047619048	0
1	0.05	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.05	3	1	1	1	1	1	1	1	1	1	0.844444444	0.285714286	0.023809524	0
1	0.05	4	0	0	0	0	0	0	0	0	0	0.022222222	0	0	0
1	0.05	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.02	0	0	0	0	0	0	0	0	0	0	0	0.133333333	0.2	0.54
1	0.02	1	0	0	0	0	0	0	0	0	0	0	0	0.1	0.14
1	0.02	2	0	0	0	0	0	0	0	0	0	0.020833333	0	0	0
1	0.02	3	0.659090909	1	1	1	0.979166667	0.979591837	0.979591837	1	1	0.958333333	0.866666667	0.7	0.3
1	0.02	4	0	0	0	0	0	0	0.020408163	0	0	0.020833333	0	0	0.02
1	0.02	5	0.340909091	0	0	0	0.020833333	0.020408163	0	0	0	0	0	0	0
