time	p1,0.278	p2,0.278	p1,0.64	p2,0.64
112	1.06E+00	1.02E+00	0.129978	1.76E+00
113	1.05E+00	0.966816	0.125356	1.77E+00
114	1.03E+00	0.909221	0.122537	1.75E+00
115	1.01E+00	0.846319	0.121402	1.70E+00
116	0.974267	0.781793	0.122006	1.60E+00
117	0.939137	0.719284	0.124584	1.45E+00
118	0.903058	0.661949	0.129576	1.25E+00
119	0.868587	0.612142	0.13764	1.01E+00
120	0.837963	0.571291	0.14966	0.756173
121	0.812907	0.539983	0.166698	0.5331
122	0.794554	0.518163	0.189896	0.370779
123	0.783478	0.50538	0.220408	0.270199
124	0.779789	0.500995	0.25943	0.21476
125	0.783231	0.504317	0.308289	0.187763
126	0.793283	0.514673	0.368506	0.178449
127	0.809212	0.53143	0.441795	0.180962
128	0.830109	0.553984	0.530013	0.192324
129	0.854892	0.581732	0.635053	0.211072
130	0.882313	0.614036	0.758666	0.236491
131	0.910954	0.650192	0.902196	0.268185
132	0.939241	0.689405	1.07E+00	0.305796
133	0.965476	0.730775	1.25E+00	0.34879
134	0.987897	0.773302	1.45E+00	0.396289
135	1.00E+00	0.815905	1.67E+00	0.446945
136	1.01E+00	0.857455	1.89E+00	0.498903
137	1.02E+00	0.896826	2.10E+00	0.549892
138	1.01E+00	0.932946	2.31E+00	0.597495
139	0.989441	0.964863	2.49E+00	0.639533
140	0.961782	0.991796	2.65E+00	0.674472
141	0.925388	1.01E+00	2.77E+00	0.701656
142	0.881778	1.03E+00	2.85E+00	0.721291
143	0.833	1.04E+00	2.90E+00	0.734197
144	0.781441	1.04E+00	2.92E+00	0.741474
145	0.729578	1.04E+00	2.91E+00	0.744203
146	0.679723	1.04E+00	2.86E+00	0.743249
147	0.633805	1.03E+00	2.78E+00	0.739139
148	0.593244	1.02E+00	2.65E+00	0.731966
149	0.558916	1.01E+00	2.47E+00	0.721299
150	0.531219	0.999842	2.24E+00	0.706072
151	0.510182	0.990276	1.95E+00	0.684595
152	0.495583	0.981926	1.61E+00	0.654971
153	0.487063	0.975036	1.25E+00	0.616392
154	0.484207	0.96964	0.922107	0.571284
155	0.486599	0.965597	0.655772	0.526442
156	0.493846	0.962617	0.469828	0.490628
157	0.505595	0.960294	0.353403	0.470256
158	0.521526	0.958144	0.285861	0.467767
159	0.541351	0.955634	0.249702	0.48309
160	0.564799	0.95221	0.233608	0.515473
161	0.591611	0.947333	0.231037	0.564394
162	0.621527	0.940509	0.238352	0.629765
163	0.65428	0.931318	0.253533	0.711819
164	0.689594	0.919438	0.275411	0.810871
165	0.727174	0.904679	0.303217	0.927037
166	0.766707	0.886993	0.336291	1.06E+00
167	0.807857	0.86648	0.373893	1.21E+00
168	0.850269	0.843387	0.41505	1.37E+00
169	0.893558	0.818093	0.458479	1.54E+00
170	0.937308	0.791081	0.502567	1.71E+00
171	0.981067	0.762901	0.545457	1.88E+00
172	1.02E+00	0.734134	0.585234	2.03E+00
173	1.07E+00	0.705354	0.620201	2.17E+00
174	1.11E+00	0.677093	0.64917	2.27E+00
175	1.15E+00	0.64982	0.671685	2.33E+00
176	1.18E+00	0.62392	0.688114	2.34E+00
177	1.21E+00	0.599697	0.69962	2.29E+00
178	1.24E+00	0.577374	0.708033	2.17E+00
179	1.25E+00	0.557113	0.715707	1.97E+00
180	1.27E+00	0.539019	0.725358	1.67E+00
181	1.27E+00	0.523166	0.739845	1.29E+00
182	1.26E+00	0.509609	0.761948	0.877632
183	1.25E+00	0.498403	0.79419	0.518135
184	1.22E+00	0.489617	0.83861	0.287192
185	1.18E+00	0.483347	0.896359	0.170663
186	1.14E+00	0.479729	0.967499	0.117479
187	1.09E+00	0.478946	1.05E+00	0.09367
188	1.03E+00	0.481242	1.15E+00	0.0837479
189	0.96916	0.486928	1.25E+00	0.0810968
190	0.910404	0.496378	1.36E+00	0.0827258
191	0.854939	0.510025	1.47E+00	0.0871324
192	0.804899	0.528345	1.58E+00	0.0934496
193	0.761767	0.551827	1.69E+00	0.101091
194	0.726332	0.58095	1.77E+00	0.109598
195	0.698769	0.616146	1.84E+00	0.11857
196	0.678774	0.657764	1.88E+00	0.127641
197	0.6657	0.706033	1.88E+00	0.136471
198	0.658684	0.761014	1.84E+00	0.144751
199	0.656727	0.822554	1.76E+00	0.152201
200	0.65874	0.890231	1.64E+00	0.158597
201	0.663581	0.963299	1.48E+00	0.163808
202	0.670072	1.04E+00	1.31E+00	0.167884
203	0.677029	1.12E+00	1.13E+00	0.171163
204	0.683287	1.20E+00	0.967864	0.174334
205	0.687754	1.28E+00	0.828936	0.178392
206	0.689468	1.36E+00	0.721483	0.18446
207	0.687658	1.42E+00	0.645577	0.1936
208	0.681803	1.48E+00	0.59779	0.206702
209	0.67167	1.53E+00	0.573671	0.224493
210	0.657342	1.55E+00	0.569183	0.247595
211	0.639203	1.56E+00	0.581191	0.276582
212	0.617902	1.55E+00	0.607424	0.312007
213	0.594304	1.51E+00	0.646229	0.354391
214	0.569423	1.45E+00	0.696291	0.404189
215	0.544369	1.37E+00	0.756356	0.461716
216	0.520292	1.27E+00	0.824981	0.527067
217	0.498368	1.16E+00	0.900314	0.600002
218	0.479767	1.04E+00	0.979917	0.679851
219	0.46565	0.919602	1.06E+00	0.765417
220	0.457128	0.813645	1.14E+00	0.854948
221	0.455211	0.723512	1.21E+00	0.946175
222	0.460757	0.651857	1.27E+00	1.04E+00
223	0.474453	0.59886	1.31E+00	1.12E+00
224	0.496831	0.563103	1.33E+00	1.20E+00
225	0.528302	0.542464	1.33E+00	1.27E+00
226	0.569188	0.534737	1.30E+00	1.34E+00
227	0.619715	0.537907	1.25E+00	1.38E+00
228	0.679979	0.550222	1.17E+00	1.42E+00
229	0.749873	0.570126	1.07E+00	1.45E+00
230	0.828986	0.596155	0.957429	1.46E+00
231	0.916488	0.626829	0.835731	1.46E+00
232	1.01E+00	0.660558	0.714325	1.45E+00
233	1.11E+00	0.695593	0.600764	1.44E+00
234	1.21E+00	0.730021	0.500684	1.43E+00
235	1.31E+00	0.761819	0.416991	1.42E+00
236	1.41E+00	0.788962	0.349954	1.41E+00
237	1.50E+00	0.809579	0.29799	1.43E+00
238	1.57E+00	0.82212	0.25863	1.45E+00
239	1.63E+00	0.82551	0.229259	1.49E+00
240	1.66E+00	0.819244	0.207536	1.54E+00
241	1.67E+00	0.803435	0.191527	1.61E+00
242	1.66E+00	0.778783	0.179704	1.70E+00
243	1.61E+00	0.746515	0.170876	1.79E+00
244	1.54E+00	0.708308	0.164114	1.89E+00
245	1.43E+00	0.666194	0.158691	2.00E+00
246	1.31E+00	0.622479	0.154034	2.11E+00
247	1.16E+00	0.579642	0.149696	2.22E+00
248	1.02E+00	0.540202	0.145344	2.33E+00
249	0.875889	0.506557	0.140746	2.42E+00
250	0.752178	0.480751	0.135769	2.51E+00
251	0.65153	0.464297	0.130372	2.57E+00
252	0.575692	0.458098	0.124598	2.61E+00
253	0.523098	0.462553	0.118564	2.62E+00
254	0.49061	0.47775	0.112452	2.60E+00
255	0.474869	0.503649	0.106495	2.54E+00
256	0.472968	0.540205	0.100977	2.42E+00
257	0.482613	0.587387	0.0962318	2.22E+00
258	0.502033	0.645135	0.0926512	1.94E+00
259	0.529802	0.71327	0.0907088	1.57E+00
260	0.564641	0.791359	0.091004	1.12E+00
261	0.605258	0.878573	0.0943074	0.688448
262	0.650199	0.973531	0.101514	0.373109
263	0.697765	1.07E+00	0.113416	0.20515
264	0.745966	1.18E+00	0.130589	0.130595
265	0.792558	1.28E+00	0.153604	0.0993638
266	0.835145	1.38E+00	0.183223	0.0877434
267	0.871358	1.47E+00	0.220465	0.086288
268	0.899063	1.54E+00	0.266611	0.0912735
269	0.916562	1.60E+00	0.323196	0.101254
270	0.922747	1.63E+00	0.391985	0.115767
271	0.917169	1.64E+00	0.474936	0.134816
272	0.900035	1.62E+00	0.574105	0.158636
273	0.872174	1.57E+00	0.691508	0.187555
274	0.834986	1.49E+00	0.82889	0.221895
275	0.790443	1.38E+00	0.987392	0.261855
276	0.741069	1.25E+00	1.17E+00	0.307393
277	0.689914	1.10E+00	1.37E+00	0.358076
278	0.64042	0.954368	1.58E+00	0.412949
279	0.596087	0.816079	1.81E+00	0.470445
280	0.560007	0.696683	2.04E+00	0.52841
281	0.534451	0.601415	2.26E+00	0.584301
282	0.520681	0.531026	2.46E+00	0.635573
283	0.519114	0.483258	2.63E+00	0.680164
284	0.529633	0.454664	2.77E+00	0.716891
285	0.551905	0.441851	2.88E+00	0.745579
286	0.585562	0.442016	2.96E+00	0.766893
287	0.630261	0.453018	3.01E+00	0.781982
288	0.685641	0.473248	3.04E+00	0.792128
289	0.75122	0.501431	3.04E+00	0.798499
290	0.826266	0.536439	3.02E+00	0.802026
291	0.909637	0.57713	2.98E+00	0.803358
292	0.999642	0.622221	2.92E+00	0.802863
293	1.09E+00	0.670197	2.82E+00	0.800602
294	1.19E+00	0.71928	2.69E+00	0.796283
295	1.28E+00	0.767448	2.51E+00	0.78915
296	1.37E+00	0.812537	2.28E+00	0.777837
297	1.44E+00	0.852385	2.00E+00	0.760284
298	1.50E+00	0.885013	1.67E+00	0.734014
299	1.54E+00	0.908805	1.31E+00	0.697315
300	1.55E+00	0.922623	0.96813	0.65156
301	1.53E+00	0.925876	0.68677	0.603146
302	1.49E+00	0.918513	0.485437	0.561857
303	1.41E+00	0.901018	0.357042	0.53599
304	1.31E+00	0.874419	0.281268	0.529452
305	1.19E+00	0.84035	0.239348	0.542775
306	1.05E+00	0.801157	0.218716	0.575258
307	0.908401	0.759903	0.211995	0.62624
308	0.77655	0.720191	0.215043	0.69548
309	0.662082	0.685703	0.225527	0.783088
310	0.569947	0.659606	0.242076	0.889283
311	0.500932	0.644115	0.263779	1.01E+00
312	0.453004	0.640408	0.289888	1.16E+00
