time	p1,0.278	p2,0.278	p1,0.64	p2,0.64
2004	2.00E+00	0.457808	2.26E+00	0.162594
2005	2.16E+00	0.489448	2.31E+00	0.174059
2006	2.29E+00	0.51708	2.30E+00	0.184216
2007	2.39E+00	0.539711	2.24E+00	0.192726
2008	2.45E+00	0.556849	2.11E+00	0.199254
2009	2.46E+00	0.56849	1.91E+00	0.203443
2010	2.42E+00	0.574988	1.67E+00	0.204964
2011	2.32E+00	0.576845	1.39E+00	0.20372
2012	2.15E+00	0.574481	1.12E+00	0.200229
2013	1.92E+00	0.568037	0.875547	0.195931
2014	1.63E+00	0.557333	0.687043	0.192997
2015	1.30E+00	0.542218	0.555971	0.193611
2016	0.976041	0.523595	0.473473	0.199364
2017	0.698296	0.504741	0.427571	0.211193
2018	0.495473	0.491251	0.408352	0.229671
2019	0.365039	0.488777	0.409109	0.255281
2020	0.288171	0.500896	0.425756	0.28856
2021	0.24606	0.529099	0.455958	0.330139
2022	0.225849	0.573867	0.498428	0.380716
2023	0.219964	0.63548	0.552421	0.440977
2024	0.224162	0.714309	0.61736	0.511496
2025	0.236059	0.810774	0.692526	0.592589
2026	0.254245	0.925143	0.77678	0.684143
2027	0.277766	1.06E+00	0.868317	0.785421
2028	0.305822	1.21E+00	0.964462	0.894894
2029	0.337557	1.37E+00	1.06E+00	1.01E+00
2030	0.371937	1.54E+00	1.16E+00	1.13E+00
2031	0.40769	1.72E+00	1.24E+00	1.24E+00
2032	0.44332	1.90E+00	1.31E+00	1.35E+00
2033	0.477214	2.07E+00	1.36E+00	1.46E+00
2034	0.507823	2.22E+00	1.39E+00	1.54E+00
2035	0.53388	2.34E+00	1.39E+00	1.62E+00
2036	0.554571	2.43E+00	1.37E+00	1.67E+00
2037	0.569615	2.48E+00	1.32E+00	1.72E+00
2038	0.579199	2.47E+00	1.25E+00	1.74E+00
2039	0.583815	2.42E+00	1.15E+00	1.75E+00
2040	0.584029	2.30E+00	1.03E+00	1.75E+00
2041	0.580265	2.12E+00	0.898846	1.73E+00
2042	0.572609	1.88E+00	0.764754	1.70E+00
2043	0.560813	1.57E+00	0.635135	1.66E+00
2044	0.544745	1.24E+00	0.517786	1.62E+00
2045	0.525536	0.918112	0.417919	1.58E+00
2046	0.506868	0.652168	0.337412	1.54E+00
2047	0.494566	0.463429	0.275257	1.52E+00
2048	0.494088	0.344583	0.228741	1.51E+00
2049	0.508651	0.275564	0.19462	1.52E+00
2050	0.539497	0.238386	0.169878	1.55E+00
2051	0.587013	0.221269	0.152041	1.60E+00
2052	0.651462	0.217399	0.139203	1.67E+00
2053	0.7332	0.222975	0.129944	1.75E+00
2054	0.832607	0.235853	0.123209	1.84E+00
2055	0.949859	0.254743	0.118213	1.94E+00
2056	1.08E+00	0.278748	0.114358	2.04E+00
2057	1.24E+00	0.307078	0.111193	2.15E+00
2058	1.40E+00	0.338868	0.108373	2.25E+00
2059	1.58E+00	0.373062	0.105654	2.35E+00
2060	1.75E+00	0.408368	0.102876	2.43E+00
2061	1.93E+00	0.443292	0.0999646	2.49E+00
2062	2.09E+00	0.476248	0.0969258	2.52E+00
2063	2.24E+00	0.505752	0.0938458	2.51E+00
2064	2.35E+00	0.530626	0.0908879	2.45E+00
2065	2.43E+00	0.550155	0.0882926	2.33E+00
2066	2.46E+00	0.564136	0.0863805	2.12E+00
2067	2.44E+00	0.57279	0.0855666	1.81E+00
2068	2.37E+00	0.576584	0.0863836	1.41E+00
2069	2.23E+00	0.576	0.0895185	0.948958
2070	2.03E+00	0.571318	0.0958348	0.544026
2071	1.76E+00	0.562483	0.106254	0.286315
2072	1.45E+00	0.549249	0.121536	0.162804
2073	1.11E+00	0.531896	0.142306	0.11037
2074	0.809418	0.512563	0.169282	0.0891223
2075	0.573068	0.496012	0.203403	0.0823675
2076	0.413328	0.488219	0.245861	0.0836335
2077	0.31599	0.493782	0.298109	0.0903861
2078	0.260881	0.514978	0.361844	0.101681
2079	0.232444	0.552591	0.438977	0.117279
2080	0.221071	0.606924	0.531573	0.137281
2081	0.221308	0.678301	0.641734	0.161949
2082	0.23011	0.767137	0.771411	0.191591
2083	0.245725	0.873799	0.922122	0.226461
2084	0.267053	0.998341	1.09E+00	0.266644
2085	0.293256	1.14E+00	1.29E+00	0.311929
2086	0.323522	1.30E+00	1.50E+00	0.361674
2087	0.356905	1.47E+00	1.73E+00	0.414696
2088	0.392238	1.65E+00	1.96E+00	0.469227
2089	0.428113	1.83E+00	2.19E+00	0.523023
2090	0.46295	2.00E+00	2.40E+00	0.573639
2091	0.495146	2.16E+00	2.59E+00	0.618862
2092	0.523287	2.30E+00	2.75E+00	0.657144
2093	0.546348	2.40E+00	2.88E+00	0.687869
2094	0.563819	2.46E+00	2.98E+00	0.711318
2095	0.575702	2.48E+00	3.04E+00	0.728402
2096	0.582382	2.45E+00	3.08E+00	0.740307
2097	0.584423	2.36E+00	3.10E+00	0.748213
2098	0.582336	2.21E+00	3.09E+00	0.753119
2099	0.576366	1.99E+00	3.07E+00	0.755779
2100	0.566389	1.71E+00	3.02E+00	0.756683
2101	0.552128	1.38E+00	2.94E+00	0.756059
2102	0.533989	1.05E+00	2.83E+00	0.75384
2103	0.514461	0.757516	2.68E+00	0.749597
2104	0.498667	0.535032	2.48E+00	0.742406
2105	0.492568	0.38832	2.23E+00	0.7307
2106	0.500425	0.300413	1.92E+00	0.712234
2107	0.524198	0.251356	1.57E+00	0.684579
2108	0.56452	0.226694	1.20E+00	0.646691
2109	0.621654	0.217734	0.869141	0.601435
2110	0.695912	0.219587	0.609474	0.556679
2111	0.787685	0.229522	0.433083	0.522121
2112	0.897271	0.245953	0.324982	0.504466
2113	1.02E+00	0.267858	0.26317	0.506069
2114	1.17E+00	0.294429	0.23041	0.526788
2115	1.33E+00	0.324849	0.215989	0.565899
2116	1.50E+00	0.358155	0.213833	0.622974
2117	1.68E+00	0.393158	0.220579	0.698031
2118	1.86E+00	0.42844	0.234337	0.791384
2119	2.03E+00	0.462435	0.253973	0.903381
2120	2.18E+00	0.493591	0.27869	1.03E+00
2121	2.31E+00	0.520573	0.307765	1.18E+00
2122	2.40E+00	0.542454	0.340366	1.35E+00
2123	2.45E+00	0.558815	0.375439	1.53E+00
2124	2.46E+00	0.56971	0.411637	1.71E+00
2125	2.41E+00	0.575529	0.447338	1.90E+00
2126	2.30E+00	0.576775	0.480748	2.09E+00
2127	2.12E+00	0.57384	0.510093	2.26E+00
2128	1.88E+00	0.566817	0.533869	2.41E+00
2129	1.59E+00	0.555493	0.551056	2.54E+00
2130	1.25E+00	0.53979	0.561253	2.63E+00
2131	0.933338	0.520875	0.564672	2.69E+00
2132	0.665155	0.502405	0.562036	2.70E+00
2133	0.473205	0.490153	0.554451	2.67E+00
2134	0.351535	0.489564	0.543299	2.59E+00
2135	0.280546	0.503883	0.530179	2.44E+00
2136	0.242134	0.534389	0.516897	2.21E+00
2137	0.224287	0.581499	0.505461	1.88E+00
2138	0.220014	0.645501	0.498076	1.46E+00
2139	0.225403	0.726778	0.497229	0.979798
2140	0.23825	0.825744	0.505861	0.557833
2141	0.257232	0.942625	0.527148	0.288548
2142	0.281435	1.08E+00	0.563442	0.159796
2143	0.310058	1.23E+00	0.615779	0.105104
2144	0.342229	1.39E+00	0.684577	0.0822299
2145	0.376881	1.57E+00	0.770192	0.0735555
2146	0.412708	1.75E+00	0.872949	0.0721823
2147	0.44819	1.93E+00	0.992946	0.0752439
2148	0.48171	2.09E+00	1.13E+00	0.0814286
2149	0.511746	2.24E+00	1.28E+00	0.09005
2150	0.537085	2.36E+00	1.45E+00	0.100665
2151	0.556988	2.44E+00	1.62E+00	0.112898
2152	0.571245	2.48E+00	1.80E+00	0.126356
2153	0.580098	2.47E+00	1.97E+00	0.140589
2154	0.584062	2.41E+00	2.12E+00	0.155092
2155	0.583701	2.28E+00	2.25E+00	0.169332
2156	0.579393	2.09E+00	2.34E+00	0.182792
2157	0.571176	1.84E+00	2.39E+00	0.195016
2158	0.558778	1.53E+00	2.38E+00	0.205621
2159	0.542156	1.19E+00	2.31E+00	0.214274
2160	0.522739	0.876626	2.17E+00	0.220634
2161	0.504593	0.620947	1.96E+00	0.224311
2162	0.493662	0.44296	1.70E+00	0.224903
2163	0.495157	0.33237	1.40E+00	0.222256
2164	0.51196	0.268764	1.11E+00	0.216944
2165	0.545128	0.234974	0.854843	0.21067
2166	0.595001	0.220039	0.659959	0.206015
2167	0.66185	0.217675	0.52706	0.205503
2168	0.746044	0.224379	0.445	0.210863
2169	0.84795	0.238165	0.400132	0.223022
2170	0.967693	0.257823	0.381736	0.242499
2171	1.10E+00	0.282484	0.382824	0.269742
2172	1.26E+00	0.311356	0.399265	0.305285
2173	1.42E+00	0.343553	0.428758	0.349784
2174	1.60E+00	0.377989	0.470074	0.403979
2175	1.78E+00	0.413337	0.522532	0.468605
2176	1.95E+00	0.448083	0.585618	0.544278
2177	2.12E+00	0.480641	0.658683	0.631331
2178	2.26E+00	0.50956	0.740669	0.729626
2179	2.36E+00	0.533717	0.829864	0.838339
2180	2.44E+00	0.55247	0.923704	0.955771
2181	2.46E+00	0.565683	1.02E+00	1.08E+00
2182	2.44E+00	0.573624	1.11E+00	1.21E+00
2183	2.35E+00	0.576777	1.19E+00	1.33E+00
2184	2.21E+00	0.575608	1.26E+00	1.45E+00
2185	1.99E+00	0.570354	1.32E+00	1.55E+00
2186	1.72E+00	0.560916	1.35E+00	1.65E+00
2187	1.40E+00	0.547059	1.35E+00	1.72E+00
2188	1.07E+00	0.529242	1.33E+00	1.78E+00
2189	0.771772	0.509957	1.29E+00	1.83E+00
2190	0.546261	0.494278	1.22E+00	1.85E+00
2191	0.396425	0.48813	1.13E+00	1.86E+00
2192	0.306158	0.495789	1.02E+00	1.86E+00
2193	0.255568	0.519254	0.901654	1.84E+00
2194	0.229978	0.559191	0.774172	1.81E+00
2195	0.220487	0.615887	0.648472	1.77E+00
2196	0.222066	0.68968	0.532113	1.72E+00
2197	0.231905	0.780994	0.43078	1.67E+00
2198	0.248376	0.890166	0.347279	1.63E+00
2199	0.270432	1.02E+00	0.281561	1.60E+00
2200	0.297253	1.16E+00	0.231592	1.58E+00
2201	0.328015	1.32E+00	0.19447	1.58E+00
2202	0.361745	1.49E+00	0.167266	1.59E+00
2203	0.397242	1.67E+00	0.147461	1.63E+00
2204	0.433068	1.85E+00	0.133069	1.68E+00
2205	0.467628	2.02E+00	0.122588	1.75E+00
2206	0.499334	2.18E+00	0.114906	1.82E+00
2207	0.526814	2.31E+00	0.109198	1.91E+00
2208	0.549111	2.41E+00	0.104854	2.01E+00
2209	0.56579	2.47E+00	0.101416	2.10E+00
2210	0.576915	2.48E+00	0.0985506	2.19E+00
2211	0.582911	2.44E+00	0.0960209	2.27E+00
2212	0.584348	2.34E+00	0.0936822	2.33E+00
2213	0.581711	2.18E+00	0.0914759	2.36E+00
2214	0.575197	1.95E+00	0.0894296	2.35E+00
2215	0.564638	1.67E+00	0.0876601	2.29E+00
2216	0.54978	1.34E+00	0.0863779	2.17E+00
2217	0.531233	1.01E+00	0.0858962	1.96E+00
2218	0.511871	0.721612	0.0866464	1.66E+00
2219	0.497094	0.510178	0.0892056	1.26E+00
2220	0.492751	0.372956	0.0943239	0.837363
2221	0.502763	0.291604	0.10291	0.481589
2222	0.528832	0.246684	0.115889	0.26425
2223	0.571494	0.224636	0.134039	0.159892
2224	0.631004	0.217422	0.158078	0.114486
2225	0.707691	0.220537	0.188857	0.0960601
2226	0.801946	0.23146	0.227454	0.0909583
2227	0.914033	0.248712	0.275201	0.0936896
2228	1.04E+00	0.271318	0.333682	0.102051
2229	1.19E+00	0.29848	0.404711	0.115226
2230	1.35E+00	0.329367	0.490286	0.133029
2231	1.52E+00	0.362988	0.592494	0.155581
2232	1.70E+00	0.398121	0.713365	0.183128
2233	1.88E+00	0.43332	0.854622	0.215926
2234	2.05E+00	0.467009	1.02E+00	0.25412
2235	2.20E+00	0.497654	1.20E+00	0.297616
2236	2.32E+00	0.523967	1.41E+00	0.345946
2237	2.41E+00	0.545088	1.63E+00	0.398139
2238	2.46E+00	0.560671	1.85E+00	0.452644
2239	2.45E+00	0.570826	2.08E+00	0.507366
2240	2.40E+00	0.575974	2.31E+00	0.559873
2241	2.28E+00	0.576617	2.51E+00	0.607781
2242	2.09E+00	0.573111	2.68E+00	0.649206
2243	1.84E+00	0.565503	2.82E+00	0.683125
2244	1.54E+00	0.553558	2.93E+00	0.709471
2245	1.21E+00	0.537288	3.01E+00	0.728937
2246	0.891773	0.518149	3.06E+00	0.742645
2247	0.633592	0.500177	3.08E+00	0.751813
2248	0.452354	0.489267	3.08E+00	0.757533
2249	0.339029	0.490623	3.06E+00	0.760666
2250	0.273553	0.507158	3.02E+00	0.761808
2251	0.238603	0.539969	2.95E+00	0.761283
2252	0.222986	0.589423	2.85E+00	0.759121
2253	0.220248	0.655814	2.71E+00	0.755006
2254	0.226787	0.73954	2.53E+00	0.748156
2255	0.240558	0.841005	2.29E+00	0.737176
2256	0.26032	0.960385	1.99E+00	0.719983
2257	0.28519	1.10E+00	1.65E+00	0.694127
2258	0.314365	1.25E+00	1.28E+00	0.658075
2259	0.346953	1.42E+00	0.940694	0.613609
2260	0.381854	1.59E+00	0.662831	0.567543
2261	0.417729	1.77E+00	0.468124	0.529586
2262	0.453034	1.95E+00	0.346192	0.50739
2263	0.486154	2.12E+00	0.275356	0.504202
2264	0.515597	2.26E+00	0.236945	0.520245
2265	0.540209	2.37E+00	0.218891	0.554804
2266	0.559324	2.45E+00	0.214241	0.607332
2267	0.572803	2.48E+00	0.219135	0.677732
2268	0.580938	2.46E+00	0.23142	0.766253
2269	0.584266	2.39E+00	0.24983	0.873238
2270	0.583337	2.26E+00	0.273519	0.998819
2271	0.57849	2.06E+00	0.301767	1.14E+00
2272	0.569709	1.80E+00	0.333787	1.30E+00
2273	0.556706	1.48E+00	0.368591	1.48E+00
2274	0.539553	1.15E+00	0.404912	1.66E+00
2275	0.520007	0.836478	0.441196	1.85E+00
2276	0.5025	0.59138	0.47569	2.04E+00
2277	0.493043	0.42388	0.506611	2.21E+00
2278	0.496561	0.321103	0.532391	2.36E+00
2279	0.515617	0.262555	0.551911	2.49E+00
2280	0.551108	0.231932	0.564661	2.58E+00
2281	0.603339	0.219053	0.570774	2.64E+00
2282	0.672592	0.218122	0.570954	2.65E+00
2283	0.759247	0.225912	0.566347	2.61E+00
2284	0.863652	0.24058	0.558437	2.52E+00
2285	0.985876	0.260985	0.548972	2.35E+00
2286	1.13E+00	0.286282	0.539937	2.09E+00
2287	1.28E+00	0.315676	0.53353	1.74E+00
2288	1.45E+00	0.348256	0.532154	1.29E+00
2289	1.63E+00	0.382902	0.538473	0.821474
2290	1.80E+00	0.418259	0.555536	0.446059
2291	1.98E+00	0.452791	0.586306	0.231744
2292	2.14E+00	0.48492	0.632634	0.1352
2293	2.27E+00	0.513228	0.695241	0.0944805
2294	2.38E+00	0.536654	0.774405	0.0775702
2295	2.44E+00	0.554628	0.870279	0.0716997
2296	2.46E+00	0.567079	0.982805	0.0717886
2297	2.43E+00	0.574318	1.11E+00	0.0756453
2298	2.34E+00	0.576841	1.25E+00	0.08221
2299	2.18E+00	0.575093	1.41E+00	0.0908795
2300	1.96E+00	0.569267	1.57E+00	0.101222
2301	1.68E+00	0.559221	1.74E+00	0.112846
2302	1.35E+00	0.544753	1.90E+00	0.125338
2303	1.02E+00	0.526519	2.05E+00	0.138251
2304	0.735525	0.507385	2.17E+00	0.15111
2305	0.520958	0.492699	2.26E+00	0.163445
2306	0.380685	0.488283	2.31E+00	0.174827
2307	0.297093	0.498078	2.30E+00	0.184875
2308	0.250738	0.523825	2.23E+00	0.193252
2309	0.227828	0.56609	2.09E+00	0.199622
2310	0.220125	0.625155	1.90E+00	0.203628
2311	0.222994	0.701375	1.65E+00	0.204947
2312	0.233842	0.795171	1.37E+00	0.203513
2313	0.25115	0.906852	1.10E+00	0.199905
2314	0.273922	1.04E+00	0.859932	0.195629
2315	0.301348	1.18E+00	0.675684	0.192884
2316	0.33259	1.34E+00	0.548517	0.193827
2317	0.366647	1.52E+00	0.469068	0.199994
2318	0.402283	1.70E+00	0.425395	0.212288
2319	0.438031	1.88E+00	0.407813	0.231265
2320	0.472287	2.05E+00	0.409834	0.25741
2321	0.503478	2.20E+00	0.427528	0.291266
2322	0.53028	2.33E+00	0.458654	0.333471
2323	0.551806	2.42E+00	0.501982	0.384723
2324	0.567695	2.47E+00	0.55679	0.445706
2325	0.578071	2.48E+00	0.622501	0.51698
2326	0.583395	2.43E+00	0.698374	0.598836
2327	0.584237	2.32E+00	0.783229	0.691121
2328	0.581054	2.15E+00	0.875204	0.793048
2329	0.573991	1.92E+00	0.971558	0.903025
2330	0.562838	1.62E+00	1.07E+00	1.02E+00
2331	0.547387	1.29E+00	1.16E+00	1.14E+00
2332	0.528487	0.963784	1.25E+00	1.25E+00
2333	0.509399	0.687318	1.32E+00	1.36E+00
2334	0.495753	0.486875	1.37E+00	1.46E+00
2335	0.493236	0.358726	1.39E+00	1.55E+00
2336	0.505427	0.283518	1.39E+00	1.62E+00
2337	0.533795	0.24246	1.37E+00	1.68E+00
2338	0.578794	0.222865	1.32E+00	1.72E+00
2339	0.640682	0.217305	1.24E+00	1.74E+00
2340	0.7198	0.22163	1.14E+00	1.75E+00
2341	0.816537	0.233508	1.02E+00	1.75E+00
2342	0.931116	0.251559	0.889188	1.73E+00
2343	1.06E+00	0.274847	0.755119	1.70E+00
2344	1.21E+00	0.302581	0.626145	1.66E+00
2345	1.38E+00	0.333913	0.509922	1.62E+00
2346	1.55E+00	0.367824	0.411433	1.58E+00
2347	1.73E+00	0.403055	0.332318	1.54E+00
2348	1.90E+00	0.438138	0.271401	1.52E+00
2349	2.07E+00	0.47149	0.225893	1.51E+00
2350	2.22E+00	0.501597	0.192549	1.53E+00
2351	2.34E+00	0.527225	0.168386	1.56E+00
2352	2.42E+00	0.547582	0.150969	1.61E+00
2353	2.46E+00	0.56239	0.138435	1.67E+00
2354	2.45E+00	0.571816	0.129391	1.75E+00
2355	2.38E+00	0.576306	0.122808	1.84E+00
2356	2.26E+00	0.576353	0.117913	1.94E+00
2357	2.06E+00	0.572281	0.114122	2.05E+00
2358	1.81E+00	0.564084	0.110992	2.16E+00
2359	1.49E+00	0.551517	0.108188	2.26E+00
2360	1.16E+00	0.53471	0.105469	2.36E+00
2361	0.851429	0.515432	0.102683	2.44E+00
2362	0.603607	0.49808	0.0997599	2.49E+00
2363	0.432862	0.488619	0.0967133	2.52E+00
2364	0.327458	0.491975	0.0936347	2.51E+00
2365	0.267149	0.510748	0.0906927	2.44E+00
2366	0.235443	0.545869	0.0881328	2.31E+00
2367	0.221931	0.59767	0.0862828	2.10E+00
2368	0.22066	0.666459	0.0855647	1.79E+00
2369	0.228308	0.752644	0.086521	1.37E+00
2370	0.242979	0.856612	0.0898507	0.916954
2371	0.263504	0.978483	0.0964276	0.520315
2372	0.289024	1.12E+00	0.107169	0.273831
2373	0.318734	1.27E+00	0.122819	0.15737
2374	0.351716	1.44E+00	0.144003	0.10811
2375	0.386839	1.62E+00	0.171452	0.0882672
2376	0.42273	1.80E+00	0.20612	0.0822282
2377	0.457826	1.98E+00	0.249222	0.0839409
2378	0.490516	2.14E+00	0.302225	0.0910356
2379	0.519343	2.28E+00	0.366844	0.102638
2380	0.543214	2.39E+00	0.445004	0.118542
2381	0.561537	2.46E+00	0.538776	0.138864
2382	0.574243	2.48E+00	0.650259	0.163874
2383	0.581671	2.46E+00	0.781384	0.193879
2384	0.584373	2.38E+00	0.933624	0.229124
2385	0.582882	2.23E+00	1.11E+00	0.269678
2386	0.577495	2.03E+00	1.30E+00	0.315304
2387	0.568143	1.75E+00	1.52E+00	0.365326
2388	0.554534	1.44E+00	1.74E+00	0.418518
2389	0.536887	1.10E+00	1.97E+00	0.473074
2390	0.517297	0.797759	2.20E+00	0.526724
2391	0.500547	0.563451	2.42E+00	0.577024
2392	0.492655	0.406122	2.61E+00	0.621794
2393	0.498236	0.310717	2.77E+00	0.659549
2394	0.519554	0.256895	2.89E+00	0.68974
2395	0.557366	0.229236	2.98E+00	0.712703
2396	0.611952	0.218296	3.05E+00	0.729379
2397	0.683608	0.218734	3.08E+00	0.740964
2398	0.772721	0.227573	3.10E+00	0.748628
2399	0.879618	0.243101	3.09E+00	0.753353
2400	1.00E+00	0.264236	3.06E+00	0.755876
2401	1.15E+00	0.290154	3.01E+00	0.756668
2402	1.30E+00	0.320051	2.93E+00	0.755937
2403	1.47E+00	0.352993	2.82E+00	0.753594
2404	1.65E+00	0.387826	2.67E+00	0.74918
2405	1.83E+00	0.423164	2.47E+00	0.741731
2406	2.00E+00	0.457455	2.21E+00	0.729627
2407	2.16E+00	0.489132	1.90E+00	0.710587
2408	2.29E+00	0.516814	1.54E+00	0.682212
2409	2.39E+00	0.539502	1.18E+00	0.643648
2410	2.45E+00	0.556701	0.848059	0.59812
2411	2.46E+00	0.5684	0.594321	0.553779
2412	2.42E+00	0.57495	0.423447	0.520253
2413	2.32E+00	0.576854	0.319327	0.503926
2414	2.15E+00	0.574534	0.260056	0.506903
2415	1.92E+00	0.568133	0.228879	0.528947
2416	1.63E+00	0.557475	0.215486	0.569339
2417	1.31E+00	0.542404	0.214048	0.627681
2418	0.979431	0.523808	0.221341	0.70402
2419	0.700957	0.504929	0.235547	0.798682
2420	0.497274	0.491347	0.255568	0.912006
2421	0.366137	0.488728	0.280618	1.04E+00
2422	0.288793	0.500676	0.309972	1.19E+00
2423	0.246382	0.5287	0.342787	1.36E+00
2424	0.225979	0.573286	0.377989	1.54E+00
2425	0.219964	0.634713	0.414209	1.73E+00
2426	0.224067	0.713352	0.449809	1.92E+00
2427	0.235889	0.809623	0.482988	2.10E+00
2428	0.25401	0.923798	0.511985	2.27E+00
2429	0.277478	1.06E+00	0.535322	2.42E+00
2430	0.305487	1.20E+00	0.55202	2.55E+00
2431	0.337187	1.37E+00	0.561723	2.64E+00
2432	0.371544	1.54E+00	0.564682	2.69E+00
2433	0.407289	1.72E+00	0.561653	2.70E+00
2434	0.442928	1.90E+00	0.553764	2.67E+00
2435	0.476849	2.07E+00	0.542413	2.58E+00
2436	0.507501	2.22E+00	0.529213	2.42E+00
2437	0.533612	2.34E+00	0.515985	2.19E+00
2438	0.554363	2.43E+00	0.504747	1.85E+00
2439	0.569468	2.48E+00	0.497726	1.42E+00
2440	0.579109	2.47E+00	0.497429	0.94718
2441	0.583775	2.42E+00	0.506827	0.533595
2442	0.584036	2.30E+00	0.529086	0.275804
2443	0.580313	2.12E+00	0.566464	0.154278
2444	0.5727	1.88E+00	0.619923	0.102788
2445	0.560951	1.58E+00	0.689868	0.0812879
2446	0.544928	1.24E+00	0.776654	0.0732753
2447	0.525742	0.921461	0.880601	0.0722774
2448	0.507038	0.654711	1.00E+00	0.075589
2449	0.494631	0.465108	1.14E+00	0.0819623
2450	0.494	0.345587	1.29E+00	0.0907368
2451	0.508385	0.276124	1.46E+00	0.101478
2452	0.539046	0.238668	1.63E+00	0.113813
2453	0.586374	0.221374	1.81E+00	0.127343
2454	0.650632	0.217382	1.98E+00	0.141615
2455	0.732175	0.222867	2.13E+00	0.156121
2456	0.831382	0.235672	2.26E+00	0.170326
2457	0.948435	0.254501	2.35E+00	0.183719
2458	1.08E+00	0.278454	2.39E+00	0.195846
2459	1.23E+00	0.306741	2.38E+00	0.206329
2460	1.40E+00	0.338499	2.30E+00	0.214838
2461	1.57E+00	0.372674	2.15E+00	0.221029
2462	1.75E+00	0.407977	1.94E+00	0.224506
2463	1.93E+00	0.442915	1.68E+00	0.224875
2464	2.09E+00	0.475904	1.38E+00	0.222014
2465	2.24E+00	0.505455	1.09E+00	0.216565
2466	2.35E+00	0.530386	0.839499	0.210311
2467	2.43E+00	0.549978	0.648977	0.205861
2468	2.46E+00	0.564021	0.519971	0.205703
2469	2.44E+00	0.572732	0.440861	0.211502
2470	2.37E+00	0.576577	0.398093	0.224147
2471	2.23E+00	0.57604	0.381208	0.244141
2472	2.03E+00	0.571403	0.383447	0.271935
2473	1.76E+00	0.562615	0.400832	0.308071
2474	1.45E+00	0.54943	0.431159	0.353214
2475	1.12E+00	0.532119	0.473249	0.408105
2476	0.812551	0.512785	0.526442	0.473477
2477	0.57532	0.496167	0.590226	0.549931
2478	0.414756	0.488242	0.663932	0.637775
2479	0.316823	0.493635	0.746464	0.73683
2480	0.261332	0.514646	0.83606	0.846219
2481	0.232655	0.55207	0.930091	0.964176
2482	0.221124	0.606211	1.02E+00	1.09E+00
2483	0.221249	0.677391	1.12E+00	1.21E+00
2484	0.229964	0.766027	1.20E+00	1.34E+00
2485	0.245508	0.872484	1.27E+00	1.45E+00
2486	0.266776	0.996824	1.32E+00	1.56E+00
2487	0.292927	1.14E+00	1.35E+00	1.65E+00
2488	0.323151	1.30E+00	1.35E+00	1.73E+00
2489	0.356504	1.47E+00	1.33E+00	1.79E+00
2490	0.391822	1.64E+00	1.29E+00	1.83E+00
2491	0.427699	1.82E+00	1.22E+00	1.85E+00
2492	0.462557	2.00E+00	1.12E+00	1.86E+00
2493	0.494791	2.16E+00	1.02E+00	1.86E+00
2494	0.522985	2.29E+00	0.893036	1.84E+00
2495	0.546108	2.40E+00	0.765439	1.81E+00
2496	0.563644	2.46E+00	0.640164	1.77E+00
2497	0.575589	2.48E+00	0.524687	1.72E+00
2498	0.582325	2.45E+00	0.424519	1.67E+00
2499	0.584416	2.36E+00	0.342259	1.63E+00
2500	0.582374	2.21E+00	0.277691	1.60E+00
2501	0.57645	1.99E+00	0.22869	1.58E+00
2502	0.566522	1.71E+00	0.192329	1.58E+00
2503	0.55231	1.39E+00	0.1657	1.60E+00
2504	0.534207	1.06E+00	0.146318	1.63E+00
2505	0.514671	0.760497	0.132233	1.68E+00
2506	0.498801	0.537115	0.121972	1.75E+00
2507	0.492565	0.389613	0.114445	1.83E+00
2508	0.50025	0.301157	0.108847	1.92E+00
2509	0.52384	0.251752	0.104576	2.01E+00
2510	0.563973	0.22687	0.101187	2.11E+00
2511	0.620916	0.217765	0.0983504	2.19E+00
2512	0.69498	0.219513	0.0958379	2.27E+00
2513	0.786554	0.229366	0.0935102	2.33E+00
2514	0.895939	0.245729	0.0913147	2.36E+00
2515	1.02E+00	0.267576	0.0892854	2.35E+00
2516	1.17E+00	0.294098	0.0875447	2.29E+00
2517	1.33E+00	0.324478	0.0863102	2.16E+00
2518	1.50E+00	0.357757	0.0859032	1.94E+00
2519	1.68E+00	0.392746	0.0867645	1.63E+00
2520	1.85E+00	0.428033	0.0894823	1.23E+00
2521	2.02E+00	0.46205	0.09482	0.808386
2522	2.18E+00	0.493245	0.103694	0.461352
2523	2.31E+00	0.520279	0.117022	0.253806
2524	2.40E+00	0.54222	0.135573	0.155265
2525	2.45E+00	0.558641	0.160068	0.112544
2526	2.46E+00	0.569596	0.191373	0.0953757
2527	2.41E+00	0.575468	0.230583	0.0909561
2528	2.30E+00	0.576763	0.27905	0.0941386
2529	2.13E+00	0.573874	0.338374	0.102861
2530	1.89E+00	0.566898	0.410386	0.11637
2531	1.59E+00	0.555626	0.497092	0.134509
2532	1.26E+00	0.53997	0.600584	0.157411
2533	0.936812	0.521077	0.722876	0.185329
2534	0.667817	0.502571	0.865658	0.218514
2535	0.474975	0.490212	1.03E+00	0.257097
2536	0.3526	0.489467	1.22E+00	0.300963
2537	0.281143	0.503604	1.42E+00	0.349612
2538	0.242436	0.53392	1.64E+00	0.402031
2539	0.224401	0.580838	1.87E+00	0.456627
2540	0.219999	0.644643	2.10E+00	0.511272
2541	0.225293	0.725718	2.32E+00	0.563523
2542	0.238063	0.824478	2.52E+00	0.611015
